thought_prompt_num,small_step_num,small_step_name,video_id,rank,variant,prompt_text,visual_type,visual_params,answer_type,correct_answer,", error returs next question, change text to did I get it right?",difficulty,choice1,choice2,choice3
11,377,"Represent numbers to 10,000","Year 4_8-9_Autumn__Place value_5_Represent numbers to 10,000_rank1_placeholder",1,2,This number has zero hundreds. What is the number?,base10_blocks,"{""thousands"": 5, ""hundreds"": 0, ""tens"": 4, ""ones"": 6, ""label"": false}",numeric,5046,,hard,5460,5046,5604
12,377,"Represent numbers to 10,000","Year 4_8-9_Autumn__Place value_5_Represent numbers to 10,000_rank1_placeholder",1,3,"Which place value column represents 1,000?",base10_blocks,"{""thousands"": 1, ""hundreds"": 0, ""tens"": 0, ""ones"": 0, ""label"": false}",text_match,thousands,"[""ones"", ""tens"", ""hundreds"", ""thousands""]",easy,hundreds,thousands,tens
13,378,"Partition numbers to 10,000","Year 4_8-9_Autumn__Place value_6_Partition numbers to 10,000_rank1_placeholder",1,1,"Partition 5,346 into thousands and the rest. What is the rest?",part_whole_model,"{""total"": 5346, ""parts"": [5000, 346], ""label"": false}",numeric,346,,medium,346,46,300
14,378,"Partition numbers to 10,000","Year 4_8-9_Autumn__Place value_6_Partition numbers to 10,000_rank1_placeholder",1,2,"Complete: 7,205 = 7,000 + ___ + 5",part_whole_model,"{""total"": 7205, ""parts"": [7000, 200, 5], ""label"": false}",numeric,200,,hard,20,2000,200
15,378,"Partition numbers to 10,000","Year 4_8-9_Autumn__Place value_6_Partition numbers to 10,000_rank1_placeholder",1,3,"What is 4,872 in expanded form?",base10_blocks,"{""thousands"": 4, ""hundreds"": 8, ""tens"": 7, ""ones"": 2, ""label"": false}",text_match,4000 + 800 + 70 + 2,,medium,4000 + 800 + 70 + 2,4000 + 700 + 80 + 2,4000 + 800 + 20 + 7
16,379,"Flexible partitioning of numbers to 10,000","Year 4_8-9_Autumn__Place value_7_Flexible partitioning of numbers to 10,000_rank1_placeholder",1,1,Both part-whole models show the same number. What is out of place?,part_whole_model,"{""total"": 6429, ""parts"": [6000, 400, 20, 9], ""alternative"": [5000, 1400, 20, 9], ""label"": false}",numeric,1400,,hard,5000,1400,20
17,379,"Flexible partitioning of numbers to 10,000","Year 4_8-9_Autumn__Place value_7_Flexible partitioning of numbers to 10,000_rank1_placeholder",1,2,"Is this partition correct? 3,825 = 2,000 + 1,800 + 20 + 5",part_whole_model,"{""total"": 3825, ""parts"": [2000, 1800, 20, 5], ""label"": false}",text_match,yes,"[""yes"", ""no""]",medium,Yes,No,Don't know
18,379,"Flexible partitioning of numbers to 10,000","Year 4_8-9_Autumn__Place value_7_Flexible partitioning of numbers to 10,000_rank1_placeholder",1,3,"5,000 + 600 + 90 + 3 = 4,000 + ___ + 90 + 3. What is the missing part?",part_whole_model,"{""total"": 5693, ""parts"": [5000, 600, 90, 3], ""label"": false}",numeric,1600,,hard,5000,90,1600
19,380,"Find 1, 10, 100, 1,000 more or less","Year 4_8-9_Autumn__Place value_8_Find 1, 10, 100, 1,000 more or less_rank1_placeholder",1,1,"What is 100 more than 3,247?",base10_blocks,"{""thousands"": 3, ""hundreds"": 2, ""tens"": 4, ""ones"": 7, ""label"": false}",numeric,3347,,medium,3347,3447,3247
20,380,"Find 1, 10, 100, 1,000 more or less","Year 4_8-9_Autumn__Place value_8_Find 1, 10, 100, 1,000 more or less_rank1_placeholder",1,2,"What is 1,000 less than 5,046?",number_line,"{""start"": 0, ""end"": 10000, ""highlight"": 5046, ""interval"": 1000, ""label"": false}",numeric,4046,,medium,5046,3046,4046
21,380,"Find 1, 10, 100, 1,000 more or less","Year 4_8-9_Autumn__Place value_8_Find 1, 10, 100, 1,000 more or less_rank1_placeholder",1,3,"What is 10 more than 6,995? (Hint: This crosses a multiple of 1,000)",base10_blocks,"{""thousands"": 6, ""hundreds"": 9, ""tens"": 9, ""ones"": 5, ""label"": false}",numeric,7005,,hard,7000,7005,7095
22,381,"Number line to 10,000","Year 4_8-9_Autumn__Place value_9_Number line to 10,000_rank1_placeholder",1,1,What number is at the arrow?,number_line,"{""start"": 0, ""end"": 10000, ""highlight"": 5247, ""interval"": 1000, ""label"": false}",numeric,5247,,hard,5125,5430,5247
23,381,"Number line to 10,000","Year 4_8-9_Autumn__Place value_9_Number line to 10,000_rank1_placeholder",1,2,What is the value of each interval?,number_line,"{""start"": 400, ""end"": 500, ""highlight"": 470, ""interval"": 10, ""label"": false}",numeric,10,,easy,10,100,1000
24,381,"Number line to 10,000","Year 4_8-9_Autumn__Place value_9_Number line to 10,000_rank1_placeholder",1,3,"What number is halfway between 2,000 and 8,000?",number_line,"{""start"": 2000, ""end"": 8000, ""highlight"": 5000, ""interval"": 1000, ""label"": false}",numeric,5000,,medium,4990,5000,5010
25,382,"Estimate on a number line to 10,000","Year 4_8-9_Autumn__Place value_10_Estimate on a number line to 10,000_rank1_placeholder",1,1,"Estimate where 6,500 would be on this number line",number_line,"{""start"": 6000, ""end"": 7000, ""highlight"": null, ""interval"": 100, ""label"": false}",text_match,halfway,"[""beginning"", ""one-quarter"", ""halfway"", ""three-quarters"", ""end""]",medium,,,
26,382,"Estimate on a number line to 10,000","Year 4_8-9_Autumn__Place value_10_Estimate on a number line to 10,000_rank1_placeholder",1,2,"Is 6,429 closer to 6,000 or 7,000?",number_line,"{""start"": 6000, ""end"": 7000, ""highlight"": 6429, ""interval"": 100, ""label"": false}",numeric,6000,,medium,6000,7000,6500
27,382,"Estimate on a number line to 10,000","Year 4_8-9_Autumn__Place value_10_Estimate on a number line to 10,000_rank1_placeholder",1,3,The arrow points to approximately what value? (Nearest hundred),number_line,"{""start"": 4000, ""end"": 5000, ""highlight"": 4700, ""interval"": 100, ""label"": false}",numeric,4700,,hard,4750,4600,4700
28,383,"Compare numbers to 10,000","Year 4_8-9_Autumn__Place value_11_Compare numbers to 10,000_rank1_placeholder",1,1,"Which is greater: 3,247 or 3,274?",none,{},numeric,3274,,medium,3274,3247,3427
29,383,"Compare numbers to 10,000","Year 4_8-9_Autumn__Place value_11_Compare numbers to 10,000_rank1_placeholder",1,2,"Complete with <, > or =: 5,046 ___ 5,064",number_line,"{""start"": 5000, ""end"": 5100, ""highlight"": [5046, 5064], ""interval"": 10, ""label"": false}",text_match,<,"[""<"", "">"", ""=""]",medium,<,>,the same
30,383,"Compare numbers to 10,000","Year 4_8-9_Autumn__Place value_11_Compare numbers to 10,000_rank1_placeholder",1,3,"Which number is smaller: 6,429 or 6,924?",none,{},numeric,6429,,easy,6924,6429,6420
31,384,"Order numbers to 10,000","Year 4_8-9_Autumn__Place value_12_Order numbers to 10,000_rank1_placeholder",1,1,"Put the smallest first, then the next smallest then the biggest: 3,247, 3,274, 3,427",number_line,"{""start"": 3200, ""end"": 3500, ""highlight"": [3247, 3274, 3427], ""interval"": 50, ""label"": false}",text_match,"3247, 3274, 3427",,medium,"3247, 3427, 3274","3427, 3274, 3247","3247, 3274, 3427"
32,384,"Order numbers to 10,000","Year 4_8-9_Autumn__Place value_12_Order numbers to 10,000_rank1_placeholder",1,2,"Which number comes first in descending order: 5,046, 5,406, 5,604?",none,{},numeric,5604,,medium,5406,5604,5046
33,384,"Order numbers to 10,000","Year 4_8-9_Autumn__Place value_12_Order numbers to 10,000_rank1_placeholder",1,3,"Order these from smallest to greatest: 6,429, 6,042, 6,240",number_line,"{""start"": 6000, ""end"": 6500, ""highlight"": [6429, 6042, 6240], ""interval"": 100, ""label"": false}",text_match,"6042, 6240, 6429",,hard,"6042, 6240, 6429","6240, 6420, 6042","6429, 6042, 6240"
34,385,Roman numerals,Year 4_8-9_Autumn__Place value_13_Roman numerals_rank1_placeholder,1,1,What does the Roman numeral XL represent?,base10_blocks,"{""tens"": 4, ""ones"": 0, ""label"": false}",numeric,40,,medium,40,50,10
35,385,Roman numerals,Year 4_8-9_Autumn__Place value_13_Roman numerals_rank1_placeholder,1,2,Write 90 in Roman numerals,base10_blocks,"{""tens"": 9, ""ones"": 0, ""label"": false}",text_match,XC,"[""LC"", ""XC"", ""CX"", ""LXXXX""]",hard,LC,XL,XC
36,385,Roman numerals,Year 4_8-9_Autumn__Place value_13_Roman numerals_rank1_placeholder,1,3,Which is larger: L or C?,number_line,"{""start"": 0, ""end"": 100, ""highlight"": [50, 100], ""interval"": 10, ""label"": false}",text_match,C,"[""L"", ""C""]",easy,C,L,X
37,386,Round to the nearest 10,Year 4_8-9_Autumn__Place value_14_Round to the nearest 10_rank1_placeholder,1,1,Round 47 to the nearest 10,number_line,"{""start"": 40, ""end"": 50, ""highlight"": 47, ""interval"": 1, ""label"": false}",numeric,50,,easy,45,40,50
38,386,Round to the nearest 10,Year 4_8-9_Autumn__Place value_14_Round to the nearest 10_rank1_placeholder,1,2,What is 304 rounded to the nearest 10?,number_line,"{""start"": 300, ""end"": 310, ""highlight"": 304, ""interval"": 1, ""label"": false}",numeric,300,,medium,300,310,301
39,386,Round to the nearest 10,Year 4_8-9_Autumn__Place value_14_Round to the nearest 10_rank1_placeholder,1,3,Which multiples of 10 is 63 between?,number_line,"{""start"": 60, ""end"": 70, ""highlight"": 63, ""interval"": 1, ""label"": false}",text_match,60 and 70,,medium,63 and 73,60 and 70,65 and 70
40,387,Round to the nearest 100,Year 4_8-9_Autumn__Place value_15_Round to the nearest 100_rank1_placeholder,1,1,Round 347 to the nearest 100,number_line,"{""start"": 300, ""end"": 400, ""highlight"": 347, ""interval"": 10, ""label"": false}",numeric,300,,medium,300,350,400
41,387,Round to the nearest 100,Year 4_8-9_Autumn__Place value_15_Round to the nearest 100_rank1_placeholder,1,2,What is 672 rounded to the nearest 100?,number_line,"{""start"": 600, ""end"": 700, ""highlight"": 672, ""interval"": 10, ""label"": false}",numeric,700,,easy,600,700,800
42,387,Round to the nearest 100,Year 4_8-9_Autumn__Place value_15_Round to the nearest 100_rank1_placeholder,1,3,Round 48 to the nearest 100. (Remember: what is the previous multiple of 100?),number_line,"{""start"": 0, ""end"": 100, ""highlight"": 48, ""interval"": 10, ""label"": false}",numeric,0,,hard,100,50,0
43,388,"Round to the nearest 1,000","Year 4_8-9_Autumn__Place value_16_Round to the nearest 1,000_rank1_placeholder",1,1,"Round 3,247 to the nearest 1,000",number_line,"{""start"": 3000, ""end"": 4000, ""highlight"": 3247, ""interval"": 100, ""label"": false}",numeric,3000,,medium,3000,3300,4000
44,388,"Round to the nearest 1,000","Year 4_8-9_Autumn__Place value_16_Round to the nearest 1,000_rank1_placeholder",1,2,"What is 6,829 rounded to the nearest 1,000?",number_line,"{""start"": 6000, ""end"": 7000, ""highlight"": 6829, ""interval"": 100, ""label"": false}",numeric,7000,,easy,6000,7000,8000
45,388,"Round to the nearest 1,000","Year 4_8-9_Autumn__Place value_16_Round to the nearest 1,000_rank1_placeholder",1,3,"Round 472 to the nearest 1,000",number_line,"{""start"": 0, ""end"": 1000, ""highlight"": 472, ""interval"": 100, ""label"": false}",numeric,0,,hard,0,500,1000
46,389,"Round to the nearest 10, 100 or 1,000","Year 4_8-9_Autumn__Place value_17_Round to the nearest 10, 100 or 1,000_rank1_placeholder",1,1,"Round 3,247 to the nearest 100",number_line,"{""start"": 3200, ""end"": 3300, ""highlight"": 3247, ""interval"": 10, ""label"": false}",numeric,3200,,medium,3250,3300,3200
47,389,"Round to the nearest 10, 100 or 1,000","Year 4_8-9_Autumn__Place value_17_Round to the nearest 10, 100 or 1,000_rank1_placeholder",1,2,"Round 6,829 to the nearest 10",number_line,"{""start"": 6820, ""end"": 6830, ""highlight"": 6829, ""interval"": 1, ""label"": false}",numeric,6830,,easy,6830,6820,6825
48,389,"Round to the nearest 10, 100 or 1,000","Year 4_8-9_Autumn__Place value_17_Round to the nearest 10, 100 or 1,000_rank1_placeholder",1,3,"Which degree of accuracy is most appropriate for estimating a town population: 10, 100, or 1,000?",number_line,"{""start"": 0, ""end"": 10000, ""highlight"": 5347, ""interval"": 1000, ""label"": false}",text_match,1000,"[""10"", ""100"", ""1000""]",hard,10,100,1000
