small_step_id,action,reason,new_ss_desc,existing_ss_desc
Year 10_14-15_Summer_Higher_Graphs and diagrams_7_Draw cumulative frequency diagrams,updated,ss_desc filled from candidate,"Students learn to construct cumulative frequency diagrams from grouped data by plotting cumulative totals at the upper boundary of class intervals. These diagrams can rise or stay level but never fall, and are plotted with smooth curves or straight lines. Emphasize plotting cumulative frequencies correctly and address common errors, such as incorrect plotting points.",
Year 10_14-15_Summer_Higher_Graphs and diagrams_8_Interpret cumulative frequency diagrams,updated,ss_desc filled from candidate,"Students interpret cumulative frequency diagrams by identifying the median and quartiles at 25%, 50%, and 75% of the total frequency. They calculate the interquartile range and compare diagrams using median and interquartile range. Emphasize accurate reading using horizontal and vertical lines. Address misconceptions like using the wrong axis or estimating values without lines.",
Year 10_14-15_Summer_Higher_Graphs and diagrams_9_Box plots,updated,ss_desc filled from candidate,"Students learn to represent data distributions by drawing box plots using five key values: median, upper and lower quartiles, and minimum and maximum values. They explore relationships between cumulative frequency diagrams and box plots, identifying quartiles accurately. Emphasis is on avoiding scale misinterpretations and calculating missing values.",
Year 10_14-15_Summer_Higher_Graphs and diagrams_10_Compare distributions using box plots (E),updated,ss_desc filled from candidate,"Students learn to compare distributions using box plots, summarizing data with minimum, lower quartile, median, upper quartile, and maximum values. Focus on comparing medians for typical values and box lengths for interquartile ranges to assess consistency. Ensure comparisons use the same scale. Address misconceptions like confusing range with average or misinterpreting interquartile range significance.",
Year 10_14-15_Summer_Higher_Vectors_1_Understand and represent vectors,updated,ss_desc filled from candidate,"In this step, students deepen their understanding of vectors by interpreting column vectors and representing them as diagrams. Emphasize that the top number indicates horizontal direction, the bottom number vertical direction, and the arrow shows direction and magnitude. Address common errors, such as incorrect arrow direction or misinterpreting vector components.",
Year 10_14-15_Summer_Higher_Vectors_2_Vector notation,updated,ss_desc filled from candidate,"Students learn vector notation, labeling vectors like AB to represent movement from A to B, and comparing vectors such as AB and BA. They practice using bold letters for vectors and address common errors like incorrect labeling or direction. Discussions include vector order significance, non-alphabetical labeling, and vector representation on grids.",
Year 10_14-15_Summer_Higher_Vectors_3_Vectors multiplied by a scalar,updated,ss_desc filled from candidate,"Students explore parallel vectors and the concept of a scalar, which is a value multiplying a vector. Recognize that vectors are parallel if one is a scalar multiple of another. Use diagrams to illustrate this and practice multiplying column vectors by scalars, including negative scalars, which reverse direction. Address common arithmetic errors and misconceptions.",
Year 10_14-15_Summer_Higher_Vectors_4_Add vectors,updated,ss_desc filled from candidate,Students learn to add column vectors by combining their horizontal and vertical components. Emphasize visual representations and vector diagrams to connect geometric paths with numerical calculations. Address common errors such as arithmetic mistakes with negatives and incorrect vector drawings. Discuss the meaning of resultant vectors and the process of vector addition.,
Year 10_14-15_Summer_Higher_Vectors_5_Add and subtract vectors,updated,ss_desc filled from candidate,"Students learn vector subtraction, using diagrams before formal methods, and explore equivalent calculations like a – b and a + (–b). Practice includes abstract addition and subtraction, and combining operations such as multiplication. Address common errors with negative numbers and scalar multiplication. Discuss vector relationships, diagram representation, and the impact of order in subtraction.",
Year 10_14-15_Summer_Higher_Vectors_6_Vector journeys in shapes,updated,ss_desc filled from candidate,"Students learn to express vector journeys by combining movements into vector calculations, such as AB + BC + CD = AD. They simplify expressions like a + b + 2a – b as 3a and explore how reversing vector direction affects results. Emphasis is on consistent notation and understanding that different routes can yield the same resultant vector.",
Year 10_14-15_Summer_Higher_Vectors_7_Vectors in quadrilaterals,updated,ss_desc filled from candidate,"Students apply vector knowledge to quadrilaterals like rectangles, parallelograms, and trapezia. Emphasize that parallelograms have two pairs of identical vectors due to parallel sides. Focus on vector direction and its impact on vector journeys. Address common errors, such as neglecting vector direction or misidentifying vector properties. Discuss vector relationships to identify quadrilateral types.",
Year 10_14-15_Summer_Higher_Vectors_8_Parallel vectors,updated,ss_desc filled from candidate,"Students explore parallel vectors, recognizing they are parallel when one is a scalar multiple of the other. Highlight that parallel vectors share the same or opposite direction but may differ in magnitude. Use grids to demonstrate parallel vectors and factorization for algebraic proofs. Address misconceptions, such as confusing magnitude with parallelism and handling negative scalars.",
"Year 10_14-15_Summer_Higher_Factors and powers_1_Prime factorisation, HCF and LCM",updated,ss_desc filled from candidate,"Students recap finding the highest common factor (HCF), lowest common multiple (LCM), and expressing numbers as a product of prime factors. Use factor trees and Venn diagrams to organise information, highlighting that HCF is the product of common factors and LCM is the product of all factors. Address misconceptions about factors and multiples, and inefficiencies in listing methods for large numbers.",
"Year 10_14-15_Summer_Higher_Factors and powers_2_Powers, roots and negative indices",updated,ss_desc filled from candidate,"Students recap evaluating powers and roots mentally and using a calculator, understanding roots as the inverse of powers. They learn to estimate roots, handle negative indices as reciprocals, and convert them into fractions with positive indices. Address misconceptions like assuming negative indices result in negative values or misusing calculator functions. Focus on integer powers, real roots, and distinguishing exact root representations from decimal approximations.",
Year 10_14-15_Summer_Higher_Factors and powers_3_Fractional indices,updated,ss_desc filled from candidate,"Students explore fractional indices, starting with unit fractional indices, where the denominator indicates the root. Once confident, they move to non-unit fractional indices, understanding the numerator as a power applied after the root. Extend to fractional bases and negative indices, linking to reciprocals. Address misconceptions, such as confusing numerator and denominator roles.",
Year 10_14-15_Summer_Higher_Factors and powers_4_Four operations with surds,updated,ss_desc filled from candidate,"Students work with all four operations involving surds, focusing on adding/subtracting like surds and multiplying/dividing surds by surds/integers. Emphasize combining only like surds, similar to algebraic terms. Multiplying scales the surd, e.g., \(a \times b = ab\). Simplification to integers is not required yet. Address misconceptions like adding different bases or incorrect multiplication.",
Year 10_14-15_Summer_Higher_Factors and powers_5_Simplify surds,updated,ss_desc filled from candidate,"Students learn to simplify surds by expressing the number inside the square root as a product with a square factor, e.g., 18 = 9 × 2. Emphasize identifying the greatest square factor for efficiency. Use factor trees for prime factorization, e.g., 72 = 2 × 2 × 2 × 3 × 3. Extend to area calculations and algebraic expressions.",
Year 10_14-15_Summer_Higher_Factors and powers_6_Expand single brackets with surds,updated,ss_desc filled from candidate,"Students learn to expand and simplify expressions with surds, such as a(b + c), using the distributive law. Emphasize combining like surds and simplifying by extracting square factors. Address misconceptions like combining surds with integers and incomplete simplification. Progress to expressions with two brackets once confident. Focus on fully simplifying surds and recognizing like surds.",
Year 10_14-15_Summer_Higher_Factors and powers_7_Rationalise the denominator,updated,ss_desc filled from candidate,"Students rationalise denominators containing a single surd by multiplying both the numerator and denominator by the same surd to make the denominator rational. Emphasise that this process changes the fraction's form, not its value. Ensure full simplification, including simplifying surds. Focus on single-term denominators; binomial denominators are covered later.",
Year 10_14-15_Summer_Higher_Factors and powers_8_Expand double brackets with surds,updated,ss_desc filled from candidate,"Students expand and simplify double brackets with surds by multiplying each term in the first bracket by each term in the second, ensuring all products are explicit. Use area or grid models to visualize structure. Simplify by combining like surds and extracting square factors. Address misconceptions like incomplete multiplication or incorrect simplification.",
Year 10_14-15_Summer_Foundation_Factors and powers_9_Expand brackets with surds (E),updated,ss_desc filled from candidate,"Students expand and simplify single brackets involving surds, applying the distributive law as with algebraic terms. Use bar or area models for clarity. Focus on products simplifying directly to integers, avoiding factorising square factors. Emphasize combining only like surds. Address misconceptions such as incorrect multiplication of integers and surds.",
Year 10_14-15_Summer_Higher_Factors and powers_9_Rationalise the denominator with more complex denominators (E),updated,ss_desc filled from candidate,"Students will rationalise denominators with binomial expressions using the difference of squares: (a + b)(a – b) = a² – b². They will multiply both numerator and denominator by the conjugate of the denominator, ensuring the fraction's value remains unchanged. Begin with simple examples, progressing to complex fractions. Address misconceptions like incorrect multiplication by the conjugate.",
Year 10_14-15_Summer_Higher_Factors and powers_10_Solve problems with surds,updated,ss_desc filled from candidate,"Students apply their knowledge of surds in contexts such as area, perimeter, and solving equations. Emphasize surds as exact values from square roots. Guide students to identify problem structures, annotate problems, and use relevant formulas. Encourage breaking problems into smaller steps, maintaining surd form until final calculations. Address common errors like incorrect squaring and formula identification.",
